Nama Restaurant,Rating,Tipe Restaurant,Price,Daerah,Label
Teduh Coffee,3.8,"Kopi, Indonesia",50000,"Fatmawati, Jakarta",1
RUL'S Coffee Gallery,3.8,"Kopi, Desserts",50000,"Manggarai, Jakarta",1
Pizza Place,3.7,Pizza,50000,"M Bloc Space, Senopati, Jakarta",1
Magia Coffee,3.6,"Kopi, Beverages, Camilan",50000,"Fatmawati, Jakarta",1
CengLi!,3.8,Chinese,50000,"Kemang, Jakarta",1
Martabakku Menteng,3.7,"Makanan Jalanan, Martabak",50000,"Kemang, Jakarta",1
Kedai 3 Jari,3,"Makanan Jalanan, Steak, Indonesia",50000,"Bintaro, Jakarta",1
Cwims,3.3,Bakmi,50000,"Lebak Bulus, Jakarta",1
Sumorice,3.8,Jepang,53000,"Melawai, Jakarta",1
GROM,4.3,"Ice Cream, Desserts",55000,"Plaza Senayan, Senayan, Jakarta",1
Djournal Coffee,3.8,"Kopi, Minuman, Fusion",55000,"Senayan City, Senayan, Jakarta",1
Cold Stone Creamery,3.9,"Ice Cream, Desserts",55000,"Senayan City, Senayan, Jakarta",1
Soto Bangkong,3.9,"Soto, Jawa",55000,"Senayan, Jakarta",1
The Coffee Bean & Tea Leaf,3.2,"Kopi, Tea, Desserts, Amerika, Itali",55000,"Senayan City, Senayan, Jakarta",1
Loka Padang,3.8,Padang,55000,"Sudirman Park Apartemen, Tanah Abang, Jakarta",1
Funantique Kopi,3.4,"Kopi, Indonesia, Tea",55000,"Bendungan Hilir, Jakarta",1
Bakmi Kusuma,3.9,Bakmi,55000,"Gandaria, Jakarta",1
Gokana Ramen & Teppan,3.4,"Jepang, Asia",55000,"Bintaro Plaza, Bintaro, Jakarta",1
Martabak San Fransisco,3.8,Martabak,55000,"Tebet, Jakarta",1
Java Soul Coffee,3.9,"Kopi, Desserts, Finger Food, Indonesia",55000,"Kemang, Jakarta",1
TuBo,4,"Indonesia, Jepang",55000,"Lebak Bulus, Jakarta",1
Kobeshi Kitchen,4.2,Jepang,60000,"Senayan City, Senayan, Jakarta",1
Ramen Ya!,3.7,"Ramen, Jepang",60000,"Senayan City, Senayan, Jakarta",1
Starbucks Reserve,3.9,"Kopi, Tea, Desserts",60000,"Senayan, Jakarta",1
J.CO Donuts & Coffee,3.9,"Desserts, Kopi",60000,"Senayan City, Senayan, Jakarta",1
Wendy's,2.7,"Makanan Cepat Saji, Amerika",60000,"Senayan City, Senayan, Jakarta",1
Salty Sam,3.8,Singapura,60000,"fX Sudirman, Sudirman, Jakarta",1
Tiga Wonton,5,Chinese,60000,"fX Sudirman, Sudirman, Jakarta",1
Koi Teppanyaki,3.3,Jepang,60000,"Senayan City, Senayan, Jakarta",1
Chopstix,3.2,"Peranakan, Chinese",60000,"Plaza Senayan, Senayan, Jakarta",1
Fish Bite!,2.8,"Seafood, Barat",60000,"Palmerah, Jakarta",1
Soto Ayam Ambengan Cak Di,4.5,Soto,60000,"SCBD, Jakarta",1
Scandinavian Coffee Shop,3.5,"Kafe, Kopi, Tea",60000,"Sudirman, Jakarta",1
Marugame Udon,3.4,Jepang,60000,"fX Sudirman, Sudirman, Jakarta",1
Godiva,4,Desserts,60000,"Plaza Senayan, Senayan, Jakarta",1
Wingstop,4,"Amerika, Makanan Cepat Saji",60000,"Plaza Senayan, Senayan, Jakarta",1
MING FA,3.9,Singapura,60000,"Senayan, Jakarta",1
Cak Tu Ci Express,5,Indonesia,60000,"Senayan, Jakarta",1
Geprek Bensu,2.6,Indonesia,60000,"Bendungan Hilir, Jakarta",1
Soto Mie & Bakso Sarodja,3.7,Jawa,60000,"Bendungan Hilir, Jakarta",1
Ayam Goreng Karawaci,3.7,Jawa,60000,"Plaza Semanggi, Sudirman, Jakarta",1
Kozi Coffee,4,"Kopi, Indonesia",60000,"Cilandak, Jakarta",1
Warung Bakmi Mpek Tjoen,4,Asia,60000,"Gandaria, Jakarta",1
Ladang Coffee,3.9,Kafe,60000,"Jagakarsa, Jakarta",1
Ground 57 Coffee,3.6,"Kopi, Asia",60000,"Blok M, Jakarta",1
Resto Tigapuluh,3.6,Indonesia,60000,"Tebet, Jakarta",1
Flip Burger,4,Burger,60000,"Pondok Indah Plaza 6, Pondok Indah, Jakarta",1
AL Coffee,3.2,"Kopi, Barat, Desserts",60000,"Kemang, Jakarta",1
Baso Malang Karapitan,2.9,"Bakso, Jawa",60000,"Plaza Festival, Kuningan, Jakarta",1
Bengawan's,3.7,"Chinese, Indonesia",60000,"Kebayoran Lama, Jakarta",1
Eatlah,4.3,Asia,60000,"Blok M, Jakarta",1
Jambo Kupi,4.3,Aceh,60000,"Pasar Minggu, Jakarta",1
Emado's Shawarma,3.9,Timur Tengah,60000,"Kemang, Jakarta",1
Brouwen Coffee & Kitchen,3.6,"Kafe, Kopi, Asia",60000,"Senopati, Jakarta",1
Kozy Hub,3.2,"Kafe, Kopi, Finger Food",60000,"Kebayoran Lama, Jakarta",1
Bakmitopia,3.4,Bakmi,60000,"Senopati, Jakarta",1
Ruang Seduh,4.1,Kopi,60000,"Kemang, Jakarta",1
Starbucks Coffee,3.9,"Kopi, Tea, Desserts",60000,"Lotte Shopping Avenue, Karet, Jakarta",1
Kunanti Kopi,4,"Kafe, Kopi, Barat, Indonesia",60000,"Bintaro, Jakarta",1
Brew and Wood Coffee,4,"Kopi, Indonesia",60000,"Cilandak, Jakarta",1
Ganthari Ayam Bakar,3.8,Jawa,60000,"Blok M, Jakarta",1
Portal Coffee and Travel,4,"Kafe, Kopi, Tea",60000,"Pondok Indah, Jakarta",1
Hidangan by Dapur Mamih,3.7,Indonesia,60000,"Pondok Indah Plaza 2, Pondok indah, Jakarta",1
Supercup Coffee Shop,3.7,"Kafe, Kopi, Dimsum",60000,"Plaza Festival, Kuningan, Jakarta",1
Warung Pringga,3.7,"Jepang, Sushi, Itali, Indonesia",60000,"Bintaro, Jakarta",1
Baba Kassim,3.8,India Utara,60000,"Mampang Prapatan, Jakarta",1
FITDELI,3.4,Makanan Sehat Food,60000,"Cilandak, Jakarta",1
Boloo Boloo,3.5,"Fast Food, Jepang",60000,"Pasar Minggu, Jakarta",1
Burger King,3.7,"Makanan Cepat Saji, Burger",63000,"Senayan City, Senayan, Jakarta",1
Bakmi GM,3.7,Bakmi,63000,"Senayan City, Senayan, Jakarta",1
Carburator Springs Kafe,3.7,Barat,63000,"Bintaro, Jakarta",1
Kopi Tikum,3.7,"Kafe, Kopi",63000,"Senopati, Jakarta",1
